cluster,month,total,min,max,mean,median
1,2020-03,104,1,10,3.0588235294117645,2.5
1,2020-04,12,1,2,1.0909090909090908,1.0
1,2020-06,1,1,1,1.0,1.0
1,2020-07,3,1,1,1.0,1.0
1,2020-08,5,2,3,2.5,2.5
1,2020-09,4,1,1,1.0,1.0
1,2020-11,1,1,1,1.0,1.0
1,2020-12,9,1,2,1.125,1.0
1,2021-01,12,1,4,2.0,1.0
1,2021-04,3,1,1,1.0,1.0
1,2021-05,2,2,2,2.0,2.0
1,2021-06,16,1,3,1.6,1.0
1,2021-07,17,1,3,1.3076923076923077,1.0
1,2021-08,43,1,4,1.7916666666666667,2.0
1,2021-09,131,1,10,2.5686274509803924,2.0
1,2021-10,37,1,4,1.608695652173913,1.0
1,2021-11,90,1,9,2.5714285714285716,2.0
1,2021-12,2527,1,227,43.56896551724138,20.5
1,2022-01,8379,53,383,135.1451612903226,115.0
1,2022-02,760,30,82,54.285714285714285,52.5
2,2020-03,13,1,2,1.0833333333333333,1.0
2,2020-04,4,1,3,2.0,2.0
2,2020-07,2,1,1,1.0,1.0
2,2020-11,1,1,1,1.0,1.0
2,2021-07,1,1,1,1.0,1.0
2,2021-08,9,1,2,1.125,1.0
2,2021-09,9,1,2,1.2857142857142858,1.0
2,2021-10,20,1,2,1.4285714285714286,1.0
2,2021-11,41,1,13,2.05,1.0
2,2021-12,592,1,43,3.051546391752577,2.0
2,2022-01,5839,1,84,9.764214046822742,6.0
2,2022-02,1106,1,33,7.843971631205674,6.0
3,2020-03,270,1,10,1.646341463414634,1.0
3,2020-04,74,1,4,1.2982456140350878,1.0
3,2020-05,2,2,2,2.0,2.0
3,2020-06,2,1,1,1.0,1.0
3,2020-07,10,1,3,2.0,2.0
3,2020-08,10,1,3,1.6666666666666667,1.0
3,2020-09,6,1,1,1.0,1.0
3,2020-10,4,1,1,1.0,1.0
3,2020-11,13,1,1,1.0,1.0
3,2020-12,16,1,3,1.3333333333333333,1.0
3,2021-01,11,1,2,1.375,1.0
3,2021-02,3,1,1,1.0,1.0
3,2021-03,6,1,3,1.5,1.0
3,2021-04,3,1,1,1.0,1.0
3,2021-05,4,1,1,1.0,1.0
3,2021-06,2,1,1,1.0,1.0
3,2021-07,9,1,2,1.125,1.0
3,2021-08,307,1,32,2.8425925925925926,1.0
3,2021-09,828,1,37,2.6538461538461537,2.0
3,2021-10,1569,1,58,3.565909090909091,2.0
3,2021-11,1451,1,30,3.513317191283293,2.0
3,2021-12,8747,1,152,9.883615819209039,3.0
3,2022-01,82388,1,720,47.48587896253602,24.0
3,2022-02,12005,1,220,30.39240506329114,18.0
4,2020-01,4,1,1,1.0,1.0
4,2020-03,1719,1,21,2.9895652173913043,2.0
4,2020-04,704,1,12,2.046511627906977,1.0
4,2020-05,50,1,3,1.1627906976744187,1.0
4,2020-06,85,1,5,1.3492063492063493,1.0
4,2020-07,302,1,6,1.6149732620320856,1.0
4,2020-08,256,1,7,1.5900621118012421,1.0
4,2020-09,117,1,3,1.2580645161290323,1.0
4,2020-10,145,1,6,1.4795918367346939,1.0
4,2020-11,72,1,4,1.125,1.0
4,2020-12,259,1,22,2.0234375,1.0
4,2021-01,97,1,5,1.2597402597402598,1.0
4,2021-02,36,1,2,1.1612903225806452,1.0
4,2021-03,62,1,4,1.3777777777777778,1.0
4,2021-04,78,1,4,1.164179104477612,1.0
4,2021-05,65,1,3,1.2745098039215685,1.0
4,2021-06,226,1,7,1.8833333333333333,1.0
4,2021-07,3243,1,82,7.1118421052631575,3.0
4,2021-08,18543,1,273,20.155434782608694,5.0
4,2021-09,33696,1,303,28.103419516263553,11.0
4,2021-10,10689,1,87,9.806422018348623,6.0
4,2021-11,4940,1,54,5.289079229122056,3.0
4,2021-12,118099,1,1446,96.48611111111111,26.0
4,2022-01,586447,2,2856,430.2619222303742,285.0
4,2022-02,49671,8,737,161.79478827361564,123.0
