month,total,min,max,mean,median
2020-01,4,1,1,1.0,1.0
2020-03,2106,1,21,2.6828025477707005,2.0
2020-04,794,1,12,1.9178743961352658,1.0
2020-05,52,1,3,1.1818181818181819,1.0
2020-06,88,1,5,1.3333333333333333,1.0
2020-07,317,1,6,1.6091370558375635,1.0
2020-08,271,1,7,1.6035502958579881,1.0
2020-09,127,1,3,1.233009708737864,1.0
2020-10,149,1,6,1.4607843137254901,1.0
2020-11,87,1,4,1.1012658227848102,1.0
2020-12,284,1,22,1.9189189189189189,1.0
2021-01,120,1,5,1.3186813186813187,1.0
2021-02,39,1,2,1.1470588235294117,1.0
2021-03,68,1,4,1.3877551020408163,1.0
2021-04,84,1,4,1.1506849315068493,1.0
2021-05,71,1,3,1.2678571428571428,1.0
2021-06,244,1,7,1.8484848484848484,1.0
2021-07,3270,1,82,6.841004184100418,2.0
2021-08,18902,1,273,17.832075471698115,4.0
2021-09,34664,1,303,22.093052899936264,7.0
2021-10,12315,1,87,7.858966177409062,4.0
2021-11,6522,1,54,4.651925820256776,3.0
2021-12,129965,1,1446,55.046590427784835,8.0
2022-01,683053,1,2856,181.75971261309206,50.0
2022-02,63542,1,737,74.14469078179697,31.0
